./demo_corewar -v 1 valid_champs/Survivor.cor valid_champs/jumper.cor 

Introducing contestants...
* Player 1, weighing 39 bytes, "Survivor" ("Invincible") !
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
Player 2 (Jumper !) is said to be alive
